file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.processor\src\jdk\graal\compiler\replacements\processor\PluginGenerator.java,jdk.graal.compiler.replacements.processor.PluginGenerator,class,5,10,5,5,28,1,0,57,0,0.44444445,0.0,0.0,9,6,3,5,1,0,5,0,0,0,2,1,0,2,0,0,2,0,10,146,1,7,6,2,0,42,7,30,5,25,3,0,0,1,103,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\truffle\test\GetRootNodeCompilationTest.java,jdk.graal.compiler.truffle.test.GetRootNodeCompilationTest$UnadoptedNode,innerclass,6,6,0,6,3,3,0,2,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,12,1,0,1,0,0,1,0,2,0,2,1,0,0,0,13,9,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\java\BytecodeParser.java,jdk.graal.compiler.java.BytecodeParser$InliningScope,innerclass,12,12,0,12,24,1,0,46,0,0.48000002,0.0,0.0,5,0,1,0,2,2,5,0,0,0,5,0,0,0,0,5,3,0,1,105,0,2,14,0,1,8,4,21,1,18,6,0,0,0,99,12,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\annotation\test\TestAnnotationsOnMethods.java,jdk.graal.compiler.annotation.test.TestAnnotationsOnMethods,class,20,21,1,20,23,3,0,42,43,0.8,0.0,0.0,10,5,6,4,0,0,6,0,0,0,1,1,0,1,0,0,1,0,24,136,0,7,3,3,0,26,5,24,5,23,2,0,1,0,86,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\graph\Graph.java,jdk.graal.compiler.graph.Graph$NodeSourcePositionScope,innerclass,3,3,0,3,3,1,0,0,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,3,0,1,0,0,0,0,13,2,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\jtt\jdk\EnumMap01.java,jdk.graal.compiler.jtt.jdk.EnumMap01$Enum,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\hotspot\aarch64\AArch64HotSpotLoweringProvider.java,jdk.graal.compiler.hotspot.aarch64.AArch64HotSpotLoweringProvider,class,22,23,1,22,6,2,0,3,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,1,0,0,0,0,1,0,1,1,0,0,0,48,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\replacements\test\MethodHandleMacroTest.java,jdk.graal.compiler.replacements.test.MethodHandleMacroTest$TestClass,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,8,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\truffle\test\AssumptionPartialEvaluationTest.java,jdk.graal.compiler.truffle.test.AssumptionPartialEvaluationTest$TestOptimizedAssumptionDependency,innerclass,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,15,8,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.microbenchmarks\src\jdk\graal\compiler\microbenchmarks\graal\util\GraalUtil.java,jdk.graal.compiler.microbenchmarks.graal.util.GraalUtil,class,12,17,5,12,24,1,0,30,36,0.0,0.0,0.0,9,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,90,10,2,11,1,0,5,4,23,3,17,5,0,0,0,67,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\core\test\DontReuseArgumentSpaceTest.java,jdk.graal.compiler.core.test.DontReuseArgumentSpaceTest,class,10,11,1,10,4,3,0,10,6,0.0,0.0,0.0,4,2,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,21,3,0,0,0,0,2,20,4,1,4,0,0,0,0,47,17,0
