file,class,type,cbo,dit,lcom,loc,methods
\core\src\main\java\io\questdb\cairo\LoopingRecordSink.java,LoopingRecordSink,class,9,1,0.87,381,8
\core\src\main\java\io\questdb\cairo\MapWriter.java,MapWriter,class,8,2,0.53,106,4
\core\src\main\java\io\questdb\cairo\MemorySerializer.java,MemorySerializer,class,2,1,0,36,1
\core\src\main\java\io\questdb\cairo\MetadataCache.java,MetadataCache,class,27,1,0.93,675,18
\core\src\main\java\io\questdb\cairo\MetadataCacheReader.java,MetadataCacheReader,class,5,2,0,46,1
\core\src\main\java\io\questdb\cairo\MetadataCacheWriter.java,MetadataCacheWriter,class,3,2,0.15,59,3
\core\src\main\java\io\questdb\cairo\MicrosTimestampDriver.java,MicrosTimestampDriver,class,39,1,0.97,1918,70
\core\src\main\java\io\questdb\cairo\MillisTimestampDriver.java,MillisTimestampDriver,class,31,1,0.95,1104,53
\core\src\main\java\io\questdb\cairo\NanosTimestampDriver.java,NanosTimestampDriver,class,39,1,0.97,1884,71
\core\src\main\java\io\questdb\cairo\NativeTimestampFinder.java,NativeTimestampFinder,class,4,1,0.47,94,8
\core\src\main\java\io\questdb\cairo\O3Basket.java,O3Basket,class,3,1,0.42,86,6
\core\src\main\java\io\questdb\cairo\O3CopyJob.java,O3CopyJob,class,14,2,0.96,1145,10
\core\src\main\java\io\questdb\cairo\O3MutableAtomicInteger.java,O3MutableAtomicInteger,class,2,2,0,36,1
\core\src\main\java\io\questdb\cairo\O3OpenColumnJob.java,O3OpenColumnJob,class,18,2,0.98,3290,14
\core\src\main\java\io\questdb\cairo\O3ParquetMergeContext.java,O3ParquetMergeContext,class,14,1,0.77,215,21
\core\src\main\java\io\questdb\cairo\O3ParquetMergeStrategy.java,O3ParquetMergeStrategy,class,3,1,0.89,465,18
\core\src\main\java\io\questdb\cairo\O3PartitionJob.java,O3PartitionJob,class,38,1,0.99,3352,13
\core\src\main\java\io\questdb\cairo\O3PartitionPurgeJob.java,O3PartitionPurgeJob,class,22,1,0.89,463,8
\core\src\main\java\io\questdb\cairo\O3Utils.java,O3Utils,class,5,1,0.48,97,4
\core\src\main\java\io\questdb\cairo\OperationCodes.java,OperationCodes,class,1,1,0,12,4
\core\src\main\java\io\questdb\cairo\ParquetTimestampFinder.java,ParquetTimestampFinder,class,10,1,0.76,207,11
\core\src\main\java\io\questdb\cairo\PartitionBy.java,PartitionBy,class,10,1,0.74,190,12
\core\src\main\java\io\questdb\cairo\PartitionOverwriteControl.java,PartitionOverwriteControl,class,6,1,0.67,151,7
\core\src\main\java\io\questdb\cairo\ProjectableRecordCursorFactory.java,ProjectableRecordCursorFactory,class,2,1,0.14,58,4
\core\src\main\java\io\questdb\cairo\RebuildColumnBase.java,RebuildColumnBase,class,13,1,0.86,366,11
\core\src\main\java\io\questdb\cairo\RecordArray.java,RecordArray,class,6,2,0.63,135,8
\core\src\main\java\io\questdb\cairo\RecordChain.java,RecordChain,class,27,1,0.93,720,55
\core\src\main\java\io\questdb\cairo\RecordIdSink.java,RecordIdSink,class,3,1,0,50,3
\core\src\main\java\io\questdb\cairo\RecordSink.java,RecordSink,class,3,1,0,39,1
\core\src\main\java\io\questdb\cairo\RecordSinkFactory.java,RecordSinkFactory,class,15,1,0.98,2342,18
\core\src\main\java\io\questdb\cairo\RecordSinkSPI.java,RecordSinkSPI,class,10,1,0.54,108,14
\core\src\main\java\io\questdb\cairo\RecoverVarIndex.java,RecoverVarIndex,class,9,2,0.6,126,2
\core\src\main\java\io\questdb\cairo\Reopenable.java,Reopenable,class,1,2,0,38,1
\core\src\main\java\io\questdb\cairo\ReverseTableMapItem.java,ReverseTableMapItem,class,1,1,0.02,51,3
\core\src\main\java\io\questdb\cairo\SecurityContext.java,SecurityContext,class,4,2,0.75,204,26
\core\src\main\java\io\questdb\cairo\SingleColumnType.java,SingleColumnType,class,1,1,0.02,51,3
\core\src\main\java\io\questdb\cairo\SingleRecordSink.java,SingleRecordSink,class,14,1,0.84,318,19
\core\src\main\java\io\questdb\cairo\SqlJitMode.java,SqlJitMode,class,1,1,0,43,2
\core\src\main\java\io\questdb\cairo\SqlWalMode.java,SqlWalMode,class,1,1,0,31,2
\core\src\main\java\io\questdb\cairo\StringTypeDriver.java,StringTypeDriver,class,13,1,0.87,376,15
