nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
clash-verge-rev/clash-verge-rev,clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",TypeScript,100607,7321,2023-11-21T18:24:03Z,2026-03-05T20:51:18Z,835,0,751,62,0,4836,4836,1.0,0,https://github.com/clash-verge-rev/clash-verge-rev
angular/angular,angular,Deliver web apps with confidence 🚀,TypeScript,100074,27098,2014-09-18T16:12:01Z,2026-03-05T22:35:57Z,4186,0,5681,610,0,29376,29376,1.0,0,https://github.com/angular/angular
Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",Python,99829,14510,2024-04-29T05:30:25Z,2026-03-05T22:52:26Z,675,0,170,0,0,119,119,1.0,0,https://github.com/Shubhamsaboo/awesome-llm-apps
jaywcjlove/awesome-mac,jaywcjlove," Now we have become very big, Different from the original idea. Collect premium software in various categories.",JavaScript,99555,7448,2016-07-17T15:33:47Z,2026-03-05T22:52:40Z,3518,0,1081,13,0,378,378,1.0,0,https://github.com/jaywcjlove/awesome-mac
supabase/supabase,supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,98577,11717,2019-10-12T05:56:49Z,2026-03-05T22:25:55Z,2336,0,15580,26,0,4973,4973,1.0,0,https://github.com/supabase/supabase
Anduin2017/HowToCook,Anduin2017,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,Dockerfile,98536,10850,2020-02-29T10:43:49Z,2026-03-05T22:34:37Z,2196,0,614,4,0,364,364,1.0,0,https://github.com/Anduin2017/HowToCook
mtdvio/every-programmer-should-know,mtdvio,A collection of (mostly) technical things every software developer should know about,Unknown,98183,8666,2017-08-24T13:18:26Z,2026-03-05T20:33:21Z,3115,0,110,0,0,31,31,1.0,0,https://github.com/mtdvio/every-programmer-should-know
mui/material-ui,mui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,JavaScript,98005,32719,2014-08-18T19:11:54Z,2026-03-05T20:06:31Z,4217,0,21490,558,0,18753,18753,1.0,0,https://github.com/mui/material-ui
pytorch/pytorch,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,97984,27081,2016-08-13T05:26:41Z,2026-03-05T22:36:30Z,3491,0,6428,64,0,41041,41041,1.0,0,https://github.com/pytorch/pytorch
2dust/v2rayN,2dust,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",C#,97968,14244,2019-07-30T03:47:24Z,2026-03-05T22:19:58Z,2410,0,395,300,0,6592,6592,1.0,0,https://github.com/2dust/v2rayN
ant-design/ant-design,ant-design,An enterprise-class UI design language and React UI library,TypeScript,97669,54549,2015-04-24T15:37:24Z,2026-03-05T22:50:06Z,3968,0,17062,740,0,31120,31120,1.0,0,https://github.com/ant-design/ant-design
neovim/neovim,neovim,Vim-fork focused on extensibility and usability,Vim Script,96967,6621,2014-01-31T13:39:22Z,2026-03-05T22:29:19Z,4416,0,17730,48,0,12106,12106,1.0,0,https://github.com/neovim/neovim
ggml-org/llama.cpp,ggml-org,LLM inference in C/C++,C++,96802,15254,2023-03-10T18:58:00Z,2026-03-05T22:52:37Z,1091,0,7478,1000,0,6687,6687,1.0,0,https://github.com/ggml-org/llama.cpp
google-gemini/gemini-cli,google-gemini,An open-source AI agent that brings the power of Gemini directly into your terminal.,TypeScript,96578,11938,2025-04-17T17:04:31Z,2026-03-05T22:45:53Z,322,0,5279,393,0,8688,8688,1.0,0,https://github.com/google-gemini/gemini-cli
