file,class,type,cbo,dit,lcom,loc,methods
\zipkin\src\main\java\zipkin2\v1\V1Span.java,V1Span,class,10,1,0.84,305,17
\zipkin\src\main\java\zipkin2\v1\V1SpanConverter.java,V1SpanConverter,class,8,1,0.84,317,6
\zipkin\src\main\java\zipkin2\v1\V2SpanConverter.java,V2SpanConverter,class,4,1,0.71,170,3
\zipkin\src\test\java\zipkin2\AnnotationTest.java,AnnotationTest,class,3,1,0,26,1
\zipkin\src\test\java\zipkin2\CallTest.java,CallTest,class,20,1,0.85,337,14
\zipkin\src\test\java\zipkin2\EndpointTest.java,EndpointTest,class,5,1,0.78,229,12
\zipkin\src\test\java\zipkin2\SpanBytesDecoderDetectorTest.java,SpanBytesDecoderDetectorTest,class,7,1,0.76,210,11
\zipkin\src\test\java\zipkin2\SpanTest.java,SpanTest,class,12,1,0.9,495,28
\zipkin\src\test\java\zipkin2\TestObjects.java,TestObjects,class,7,1,0.62,131,6
\zipkin\src\test\java\zipkin2\codec\EncodingTest.java,EncodingTest,class,3,1,0.12,57,3
\zipkin\src\test\java\zipkin2\codec\KryoTest.java,KryoTest,class,12,1,0.52,105,4
\zipkin\src\test\java\zipkin2\codec\SpanBytesDecoderTest.java,SpanBytesDecoderTest,class,19,1,0.91,570,25
\zipkin\src\test\java\zipkin2\codec\SpanBytesEncoderTest.java,SpanBytesEncoderTest,class,9,1,0.88,413,26
\zipkin\src\test\java\zipkin2\codec\V1SpanBytesDecoderTest.java,V1SpanBytesDecoderTest,class,17,1,0.9,513,21
\zipkin\src\test\java\zipkin2\internal\AggregateCallTest.java,AggregateCallTest,class,27,1,0.82,282,10
\zipkin\src\test\java\zipkin2\internal\DateUtilTest.java,DateUtilTest,class,9,1,0,42,1
\zipkin\src\test\java\zipkin2\internal\DelayLimiterTest.java,DelayLimiterTest,class,10,1,0.62,130,5
\zipkin\src\test\java\zipkin2\internal\DependenciesTest.java,DependenciesTest,class,5,1,0,24,1
\zipkin\src\test\java\zipkin2\internal\DependencyLinkerTest.java,DependencyLinkerTest,class,13,1,0.91,586,20
\zipkin\src\test\java\zipkin2\internal\FilterTracesTest.java,FilterTracesTest,class,8,1,0,32,1
\zipkin\src\test\java\zipkin2\internal\HexCodecTest.java,HexCodecTest,class,4,1,0.09,55,1
\zipkin\src\test\java\zipkin2\internal\JsonCodecTest.java,JsonCodecTest,class,7,1,0.43,88,4
\zipkin\src\test\java\zipkin2\internal\JsonEscaperTest.java,JsonEscaperTest,class,4,1,0,40,1
