file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\neo4j_neo4j\community\community-it\kernel-it\src\test\java\org\neo4j\kernel\impl\transaction\log\files\TransactionLogFileIT.java,org.neo4j.kernel.impl.transaction.log.files.TransactionLogFileIT$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\tx\error\NoSuchDatabaseTransactionCreationException.java,org.neo4j.bolt.tx.error.NoSuchDatabaseTransactionCreationException,class,5,7,2,5,5,5,0,3,6,0.6,0.0,0.0,5,1,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,2,22,4,0,0,0,0,2,0,3,0,3,0,0,0,0,25,1,0
C:\lab02_clones\neo4j_neo4j\community\community-it\kernel-it\src\test\java\org\neo4j\kernel\impl\newapi\IndexProvidedValuesRange10Test.java,org.neo4j.kernel.impl.newapi.IndexProvidedValuesRange10Test$EntityControl,enum,7,7,0,7,5,1,0,0,10,0.0,0.0,0.0,5,0,1,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,0,0
C:\lab02_clones\neo4j_neo4j\community\cypher-shell\cypher-shell\src\main\java\org\neo4j\shell\commands\Source.java,org.neo4j.shell.commands.Source$Factory,innerclass,6,6,0,6,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,4,0,2,0,2,0,0,0,0,18,9,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\test\java\org\neo4j\packstream\testing\example\Edges.java,org.neo4j.packstream.testing.example.Edges,class,3,3,0,3,1,1,0,4,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,10,10,10,0,0,0,10,0,0,14,0,0,0,0,0,11,6,10,0,10,0,0,0,0,26,17,0
C:\lab02_clones\neo4j_neo4j\community\community-it\community-it\src\test\java\org\neo4j\io\pagecache\impl\muninn\MunninPageCacheCloseIT.java,org.neo4j.io.pagecache.impl.muninn.MunninPageCacheCloseIT,class,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\test\java\org\neo4j\bolt\testing\messages\BoltV58Wire.java,org.neo4j.bolt.testing.messages.BoltV58Wire,class,6,8,2,6,5,8,0,4,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0
C:\lab02_clones\neo4j_neo4j\community\community-it\kernel-it\src\test\java\org\neo4j\kernel\api\index\CompositeRandomizedIndexAccessorCompatibility.java,org.neo4j.kernel.api.index.CompositeRandomizedIndexAccessorCompatibility$Exact,innerclass,9,9,0,9,5,5,0,18,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,1,16,7,1,7,2,0,0,0,48,1032,0
C:\lab02_clones\neo4j_neo4j\community\common\src\main\java\org\neo4j\scheduler\ExecutorServiceFactory.java,org.neo4j.scheduler.ExecutorServiceFactory$ExecutorServiceAdapter,innerclass,1,1,0,1,6,2,0,1,9,0.6666666,0.0,0.0,6,0,5,1,0,0,5,0,0,0,2,0,0,1,1,0,1,0,1,22,4,0,0,0,0,0,0,2,0,2,0,0,0,0,17,1024,0
C:\lab02_clones\neo4j_neo4j\community\community-it\kernel-it\src\test\java\org\neo4j\kernel\configuration\SystemTimeZoneLoggingIT.java,org.neo4j.kernel.configuration.SystemTimeZoneLoggingIT,class,7,8,1,7,2,1,0,24,1,0.5,NaN,NaN,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,7,25,0,0,0,1,0,4,3,6,0,7,1,0,0,0,53,0,0
C:\lab02_clones\neo4j_neo4j\community\codegen\src\main\java\org\neo4j\codegen\source\JavaSourceMethodWriter.java,org.neo4j.codegen.source.JavaSourceMethodWriter,class,11,13,2,11,86,1,0,38,1874,0.9308036,0.0,0.0,64,0,57,6,0,1,58,0,0,0,7,3,0,7,0,0,7,0,2,382,4,4,6,0,0,111,3,15,3,12,2,0,0,2,142,0,0
C:\lab02_clones\neo4j_neo4j\community\community-it\kernel-it\src\test\java\org\neo4j\kernel\api\WorkerContext.java,org.neo4j.kernel.api.WorkerContext,class,4,11,7,4,6,1,0,2,0,0.5416667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,4,0,0,28,3,0,0,0,0,0,0,4,0,4,0,0,0,0,19,1,0
C:\lab02_clones\neo4j_neo4j\community\common\src\main\java\org\neo4j\dbms\database\readonly\DatabaseReadOnlyChecker.java,org.neo4j.dbms.database.readonly.DatabaseReadOnlyChecker$ReadOnlyDatabaseReadOnlyChecker,innerclass,3,3,0,3,3,1,0,0,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,0,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\tx\error\TransactionCreationException.java,org.neo4j.bolt.tx.error.TransactionCreationException,class,1,4,3,1,3,4,2,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\lab02_clones\neo4j_neo4j\community\cypher-shell\cypher-shell\src\test\java\org\neo4j\shell\parameter\ShellParameterServiceTest.java,org.neo4j.shell.parameter.ShellParameterServiceTest,class,12,13,1,12,12,1,0,39,11,0.5909091,0.0,0.0,11,0,0,3,0,8,8,0,0,0,2,0,0,2,0,0,0,0,37,74,1,1,0,0,0,86,31,13,4,13,1,0,0,1,67,0,0
C:\lab02_clones\neo4j_neo4j\community\community-it\bolt-it\src\test\java\org\neo4j\bolt\test\wire\initializer\BoltWireInitializer.java,org.neo4j.bolt.test.wire.initializer.BoltWireInitializer,interface,4,7,3,4,2,1,0,1,1,0.0,0.0,0.0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0
C:\lab02_clones\neo4j_neo4j\community\codegen\src\main\java\org\neo4j\codegen\Expression.java,org.neo4j.codegen.Expression$Or,innerclass,2,2,0,2,3,3,0,1,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,9,0
C:\lab02_clones\neo4j_neo4j\community\collections\src\main\java\org\neo4j\collection\trackable\HeapTrackingConcurrentHashMap.java,org.neo4j.collection.trackable.HeapTrackingConcurrentHashMap$HashMapIterator,innerclass,5,5,0,5,7,2,0,4,3,0.0,0.0,0.0,3,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,30,2,0,4,0,1,0,0,8,0,4,1,0,0,0,18,1026,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\runtime\throttle\ChannelReadThrottleHandler.java,org.neo4j.bolt.runtime.throttle.ChannelReadThrottleHandler,class,6,8,2,6,9,2,0,10,0,0.26666668,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,3,0,0,32,0,0,1,0,0,4,1,5,0,5,2,0,0,0,43,1,2
