full_name,language,since_date,stars,forks,commits_last_12m,pr_count_12m,pr_median_time_hours,issues_count_12m,issues_closed_12m,issue_median_time_hours
bcit-ci/CodeIgniter,PHP,2025-05-26,18177,7577,0,5,0.13805555555555554,5,0,
nikic/PHP-Parser,PHP,2025-05-26,17432,1121,40,26,5.391944444444444,29,21,34.352777777777774
BookStackApp/BookStack,PHP,2025-05-26,18768,2381,426,117,51.93527777777778,369,369,474.0313888888889
firefly-iii/firefly-iii,PHP,2025-05-26,23347,2160,2455,697,0.0008333333333333334,718,675,23.448888888888888
briannesbitt/Carbon,PHP,2025-05-26,16614,1293,297,113,6.504722222222222,22,18,58.49513888888889
flarum/flarum,PHP,2025-05-26,16286,1675,6,2,198.69222222222223,0,0,
easychen/opc-methodology,PHP,2025-05-26,15871,1824,6,1,0.0022222222222222222,8,5,3.7419444444444445
sebastianbergmann/phpunit,PHP,2025-05-26,20029,2224,2652,210,6.758194444444445,224,206,16.233194444444443
koel/koel,PHP,2025-05-26,17144,2104,541,454,0.2673611111111111,99,93,47.819722222222225
getgrav/grav,PHP,2025-05-26,15493,1410,77,29,6.545833333333333,132,108,97.21041666666667
cachethq/cachet,PHP,2025-05-26,15053,1614,46,36,0.3875,22,14,1005.985138888889
erusev/parsedown,PHP,2025-05-26,15029,1140,7,10,307.2925,11,2,4236.566666666667
barryvdh/laravel-ide-helper,PHP,2025-05-26,14906,1190,47,42,5.9719444444444445,29,10,861.9204166666667
Intervention/image,PHP,2025-05-26,14337,1490,586,18,6.906805555555556,17,14,144.94444444444446
yiisoft/yii2,PHP,2025-05-26,14304,6782,265,393,10.8225,81,66,57.68208333333334
FreshRSS/FreshRSS,PHP,2025-05-26,15074,1180,667,699,7.805833333333333,356,238,41.26291666666667
PHPOffice/PhpSpreadsheet,PHP,2025-05-26,13932,3621,787,299,18.346666666666668,83,72,80.96583333333334
thephpleague/flysystem,PHP,2025-05-26,13566,853,32,16,39.08694444444444,9,5,403.4580555555556
vlucas/phpdotenv,PHP,2025-05-26,13541,656,4,4,1032.5459722222222,8,3,303.1302777777778
Qloapps/QloApps,PHP,2025-05-26,13253,748,704,239,179.92569444444445,14,1,1319.0425
filp/whoops,PHP,2025-05-26,13233,599,30,13,2.9144444444444444,5,2,8.536944444444444
PHP-CS-Fixer/PHP-CS-Fixer,PHP,2025-05-26,13519,1635,755,726,6.903333333333333,134,110,61.04
roots/sage,PHP,2025-05-26,13209,3022,25,17,63.74638888888889,10,10,2.370694444444444
digininja/DVWA,PHP,2025-05-26,13096,4856,50,41,0.12375,17,16,1.8924999999999998
spatie/laravel-permission,PHP,2025-05-26,12895,1825,123,52,22.06458333333333,18,18,1607.6695833333333
phpstan/phpstan,PHP,2025-05-26,13951,950,2089,370,1.2822222222222222,996,731,36.920833333333334
star7th/showdoc,PHP,2025-05-26,12825,2222,187,10,5.0784722222222225,182,72,301.04263888888886
SpartnerNL/Laravel-Excel,PHP,2025-05-26,12662,1972,21,38,13.013333333333334,24,22,46.12833333333333
wallabag/wallabag,PHP,2025-05-26,12728,875,840,391,2.8916666666666666,208,138,19.145138888888887
grokability/snipe-it,PHP,2025-05-26,13823,3837,4478,790,1.0520833333333335,1043,849,34.20027777777778
DigitalPlatDev/FreeDomain,HTML,2025-05-26,164060,2862,14,0,,0,0,
ossu/computer-science,HTML,2025-05-26,204038,25396,28,49,12.524166666666666,27,23,10.591111111111111
PKUFlyingPig/cs-self-learning,HTML,2025-05-26,72857,7890,35,42,9.363333333333333,34,6,33.829861111111114
shanraisshan/claude-code-best-practice,HTML,2025-05-26,54167,5430,777,43,41.81222222222222,32,29,28.065555555555555
docker/awesome-compose,HTML,2025-05-26,45345,8147,0,131,577.9616666666666,21,5,98.93055555555556
ripienaar/free-for-dev,HTML,2025-05-26,122527,12855,699,623,0.5769444444444445,0,0,
tabler/tabler,HTML,2025-05-26,41070,4368,150,119,155.76166666666666,104,60,27.631805555555555
square/retrofit,HTML,2025-05-26,43905,7345,237,265,0.5936111111111111,27,23,2.99
QSCTech/zju-icicles,HTML,2025-05-26,40541,9585,30,6,28.025277777777777,0,0,
google/styleguide,HTML,2025-05-26,39313,12976,8,26,2.7894444444444444,15,8,107.28819444444444
PKUanonym/REKCARC-TSC-UHT,HTML,2025-05-26,37054,7844,18,19,1.2452777777777777,4,2,1460.6884722222221
fengdu78/Coursera-ML-AndrewNg-Notes,HTML,2025-05-26,36976,11182,2,1,1.8611111111111112,2,0,
opentofu/manifesto,HTML,2025-05-26,35786,1036,0,0,,0,0,
google/material-design-lite,HTML,2025-05-26,32174,4923,1,2,,12,2,0.014305555555555556
alpinejs/alpine,HTML,2025-05-26,31593,1366,131,89,97.26180555555555,6,6,76.00750000000001
foundation/foundation-sites,HTML,2025-05-26,29767,5388,0,5,2.091388888888889,11,2,108.97041666666667
wesbos/JavaScript30,HTML,2025-05-26,29130,41909,1,30,0.043472222222222225,0,0,
Tencent/weui,HTML,2025-05-26,27370,6305,11,5,0.006388888888888889,3,0,
dwmkerr/hacker-laws,HTML,2025-05-26,27144,1565,23,11,9.977222222222222,2,0,
aishwaryanr/awesome-generative-ai-guide,HTML,2025-05-26,26810,5628,175,70,232.51638888888888,18,15,38.51083333333333
facebookresearch/fastText,HTML,2025-05-26,26522,4814,0,0,,0,0,
Igglybuff/awesome-piracy,HTML,2025-05-26,26213,2237,0,0,,0,0,
wilsonfreitas/awesome-quant,HTML,2025-05-26,26342,3516,220,148,192.24166666666667,14,6,466.3833333333333
f/prompts.chat,HTML,2025-05-26,162623,21159,6031,199,16.27638888888889,54,40,33.23986111111111
javascript-tutorial/en.javascript.info,HTML,2025-05-26,25290,3995,19,78,284.07444444444445,34,5,329.0105555555556
bitcoinbook/bitcoinbook,HTML,2025-05-26,25203,6198,0,20,0.0022222222222222222,17,7,0.0011111111111111111
liguodongiot/llm-action,HTML,2025-05-26,24346,2796,40,2,3099.3219444444444,4,1,163.80194444444444
luong-komorebi/Awesome-Linux-Software,HTML,2025-05-26,24948,2203,14,69,1257.0236111111112,6,6,1451.4104166666666
dibingfa/flash-linux0.11-talk,HTML,2025-05-26,22354,2942,0,0,,1,0,
Polymer/polymer,HTML,2025-05-26,22038,1967,0,8,0.03888888888888889,1,0,
harvesthq/chosen,HTML,2025-05-26,21992,4028,0,2,0.006388888888888889,1,0,
TeamStuQ/skill-map,HTML,2025-05-26,21508,4404,0,1,0.006944444444444444,2,0,
vernesong/OpenClash,HTML,2025-05-26,25876,3893,866,54,13.899444444444445,457,379,1582.9075
davideuler/architecture.of.internet-product,HTML,2025-05-26,20751,4748,0,0,,2,0,
ColorlibHQ/gentelella,HTML,2025-05-26,21322,6833,87,19,1395.5708333333334,4,4,1048.6026388888888
rough-stuff/rough,HTML,2025-05-26,20969,657,0,1,0.010555555555555556,3,1,0.2313888888888889
fengdu78/deeplearning_ai_books,HTML,2025-05-26,20614,6123,0,0,,0,0,
WeNeedHome/SummaryOfLoanSuspension,HTML,2025-05-26,20422,2085,0,1,2569.527222222222,0,0,
Chuyu-Team/Dism-Multi-language,HTML,2025-05-26,19530,1204,0,1,,37,7,686.7747222222222
nndl/nndl.github.io,HTML,2025-05-26,18790,3661,2,0,,4,4,4897.564722222222
ftlabs/fastclick,HTML,2025-05-26,18538,3139,0,0,,0,0,
you-dont-need/You-Dont-Need-JavaScript,HTML,2025-05-26,20531,1497,432,217,16.012916666666666,76,59,35.89333333333333
Prinzhorn/skrollr,HTML,2025-05-26,18415,3411,0,0,,0,0,
uikit/uikit,HTML,2025-05-26,18538,2295,329,55,12.44111111111111,37,19,45.08222222222222
google/web-starter-kit,HTML,2025-05-26,18307,2925,0,0,,0,0,
twitter/twemoji,HTML,2025-05-26,17647,1898,5,20,0.13666666666666666,19,4,0.77125
phil-opp/blog_os,HTML,2025-05-26,17481,1202,120,42,11.5775,17,5,77.17777777777778
desandro/masonry,HTML,2025-05-26,16705,2079,0,0,,0,0,
google/fonts,HTML,2025-05-26,20084,2884,2844,695,6.580555555555556,350,204,118.84319444444444
trycua/cua,HTML,2025-05-26,16979,1078,2703,1129,0.38166666666666665,225,133,65.32138888888889
