language,repo_count,total_stars,total_forks,total_commits_12m,total_prs_12m,total_issues_12m,total_closed_issues_12m,median_pr_time_hours,mean_pr_time_hours,median_issue_close_hours,mean_issue_close_hours,median_commits_12m,mean_commits_12m
C#,50,1392511,186262,43282,32242,28251,18972,19.418333333333333,245.99925925925925,76.10361111111112,222.0237941919192,105.5,865.64
C++,50,2677780,516227,131831,48313,19883,12372,20.38722222222222,124.10493794326241,68.67013888888889,286.77307065217394,595.5,2636.62
HTML,50,1922505,295871,16052,4297,1683,1065,10.777361111111112,279.15395447530864,76.00750000000001,448.15641283524906,9.5,321.04
Java,50,2370638,659713,41634,27252,21410,16791,26.163194444444443,83.69427714646464,59.369861111111106,364.2323792270531,193.5,832.68
JavaScript,50,4166906,761898,31445,34717,12711,9637,11.2475,55.805598765432094,33.519305555555555,276.34635981912146,106.5,628.9
PHP,50,1044394,186673,48268,25061,10390,8005,7.805833333333333,68.96361728395063,59.76756944444445,411.3045328282828,274.5,965.36
Python,50,6331695,1012420,95229,79792,36826,23544,17.855833333333337,100.46322916666666,67.44875,222.06368371212122,243.5,1904.58
TypeScript,50,5730339,861730,195833,113312,74351,54805,14.057083333333333,38.53588333333333,50.24722222222222,115.500625,1597.0,3916.66
