file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\Tencent_APIJSON\APIJSONORM\src\main\java\apijson\SQL.java,apijson.SQL,class,3,4,1,3,57,1,0,19,695,0.9684211,0.0,0.0,38,38,38,0,0,0,38,0,0,0,25,25,25,0,0,0,25,0,24,183,48,2,4,0,5,84,11,36,33,29,2,0,0,0,80,1,0
C:\lab02_clones\Tencent_APIJSON\APIJSONORM\src\main\java\apijson\RequestMethod.java,apijson.RequestMethod,enum,1,2,1,1,16,1,0,6,21,1.0,0.0,0.0,7,7,7,0,0,0,7,0,0,0,2,2,2,0,0,0,2,0,5,32,7,0,9,0,2,0,0,2,0,2,0,0,0,0,35,1,0
C:\lab02_clones\Tencent_APIJSON\APIJSONORM\src\main\java\apijson\StringUtil.java,apijson.StringUtil,class,1,3,2,1,191,1,0,68,4490,0.98135525,0.0,0.0,97,96,97,0,0,0,98,0,0,0,47,47,45,2,0,0,46,0,130,563,134,6,37,0,3,85,39,92,18,61,3,0,0,0,145,1,0
